id,unit_id,status,ownership_type,date_acquired,purchase_amount,monthly_payment,payment_start_date,payment_end_date,lender,make,model,year,purchase_odometer,purchase_odometer_update,odometer,odometer_update,fair_market_value,fair_market_value_date,down_payment,interest_rate,balloon_payment
1463,SPOT-Truck 0364,ACTIVE,Operating lease,2024-10-01,185000,4229,2024-11-01,2027-08-01,Transport Enterprise Leasing LLC,Peterbilt,579,2025,977,,101659,5-11-2025 16:38:12,0,,0,0,0
1464,SPOT-Truck 0526,ACTIVE,Operating lease,2024-12-01,172227,4590.31,2025-01-01,2030-01-01,Ryder Truck Rental,Freightliner,Cascadia,2025,19,,55246,5-9-2025 19:48:21,0,,0,0,0
1465,SPOT-Truck 0315,ACTIVE,Lease Purchase,2024-10-01,217200,3295,2024-10-01,2029-10-01,Cresco Capital Inc,Kenworth,T680,2024,885,,131313,5-12-2025 9:23:39,0,,19500,8.44,0
1466,Truck 0729,INACTIVE,Owner operator owned,2024-12-01,0,0,,,Temp Vendor,freightliner,TT,2017,0,,,,0,,0,0,0
1467,SPOT-Truck 0178,ACTIVE,Lease Purchase,2024-10-01,217200,3295,2024-10-01,2029-10-01,Cresco Capital Inc,Kenworth,T680,2025,1185,,120938,4-29-2025 17:19:27,0,,19500,8.44,0
1468,Truck 0345,ACTIVE,Owner Operator Owned,06/03/2024,0,0,06/03/2024,,Mziizi Inc,Freightliner,Cascadia,2020,,,666219,5-9-2025 20:52:25,,,,0,
1474,Truck 0087,INACTIVE,Owner Operator Owned,04/02/2024,0,0,04/02/2024,,Pride Trucking LLC,Freightliner,TT,1999,,,,,,,,0,
1476,Truck 0554,INACTIVE,Owner Operator Owned,08/14/2024,0,0,08/14/2024,,Salween Transports Inc,KENWORTH,TR,2019,,,,,,,,0,
1483,Truck 0101,INACTIVE,Owner Operator Owned,10/18/2023,0,0,,,,Peterbilt,-,2009,,,,,,,,0,
1486,Truck 0441,INACTIVE,Owner Operator Owned,05/06/2024,0,0,05/06/2024,,Cool Runnings Trucking llc,Freightliner,TR,2015,,,,,,,,0,
1499,Truck 0270,INACTIVE,Owner Operator Owned,05/13/2024,0,0,05/13/2024,,Sekou Express llc,PETERBILT,TT,2022,,,,,,,,0,
1501,Truck 0006,INACTIVE,Owner Operator Owned,08/05/2024,0,0,08/05/2024,,Paul Hernandez,PETERBILT,Commercial,2018,,,,,,,,0,
1532,SPOT-Truck 0719,ACTIVE,Lease Purchase,2025-01-01,175000,3575,2025-01-01,2030-01-01,HEC Leasing LLC,Peterbilt,579,2025,738,,58339,5-12-2025 8:47:37,0,,0,11.9,25000
1533,SPOT-Truck 0537,ACTIVE,Financed,2025-03-01,190452,3752.75,2025-04-01,2030-04-01,Volvo Financial Services,VOLVO,VNL860,2026,1032,,10145,5-12-2025 8:57:01,0,,9522.6,8.75,0
